flipper_length_mm,body_mass_g
181,3750
195,3250
186,3800
190,3650
193,3450
170,3625
195,4675
171,4250
193,3475
186,3300
182,3200
180,3700
191,3800
185,3700
195,3450
184,3325
197,4500
194,4200
174,3400
189,3800
180,3600
185,3950
180,3800
187,3800
183,3550
187,3200
172,3150
180,3950
178,3250
178,3900
188,3300
184,3900
195,3325
196,4150
190,3950
180,3550
181,3300
184,4650
182,3150
195,3900
186,3100
196,4400
185,3000
190,4600
182,3425
179,2975
190,3450
191,4150
186,3500
188,4300
190,3450
200,4050
187,2900
191,3700
186,3550
193,3800
181,2850
194,3750
185,3150
195,4400
185,3600
192,4050
184,2850
192,3950
195,3350
188,4100
190,3050
198,4450
190,3600
190,3900
196,3550
197,4150
190,3700
195,4250
191,3700
184,3900
187,3550
195,4000
189,3200
196,4700
187,3800
193,4200
191,3350
194,3550
190,3800
189,3500
189,3950
190,3600
202,3550
205,4300
185,3400
186,4450
187,3300
208,4300
190,3700
196,4350
178,2900
192,4100
192,3725
203,4725
183,3075
190,4250
193,2925
184,3550
199,3750
190,3900
181,3175
197,4775
198,3825
191,4600
193,3200
197,4275
191,3900
196,4075
188,2900
199,3775
189,3350
189,3325
187,3150
198,3500
176,3450
202,3875
186,3050
199,4000
191,3275
195,4300
191,3050
210,4000
190,3325
197,3500
193,3500
199,4475
187,3425
190,3900
191,3175
200,3975
185,3400
193,4250
193,3400
187,3475
188,3050
190,3725
192,3000
185,3650
190,4250
184,3475
195,3450
193,3750
187,3700
201,4000
192,3500
196,3900
193,3650
188,3525
197,3725
198,3950
178,3250
197,3750
195,4150
198,3700
193,3800
194,3775
185,3700
201,4050
190,3575
201,4050
197,3300
181,3700
190,3450
195,4400
181,3600
191,3400
187,2900
193,3800
195,3300
197,4150
200,3400
200,3800
191,3700
205,4550
187,3200
201,4300
187,3350
203,4100
195,3600
199,3900
195,3850
210,4800
192,2700
205,4500
210,3950
187,3650
196,3550
196,3500
196,3675
201,4450
190,3400
212,4300
